Age,Games Played,Games Started,3-Point Field Goals Per Game,Free Throws Per Game,Offensive Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game
30,43,6,1.5,1.2,0.4,2.4,0.6,0.3
33,69,69,2.0,0.9,1.2,4.8,0.9,0.8
24,19,0,0.6,0.3,0.5,0.8,0.2,0.1
22,74,59,1.4,1.0,0.6,1.4,0.6,0.6
20,40,0,0.3,0.3,0.3,0.3,0.2,0.2
21,50,0,0.8,0.4,0.1,0.9,0.3,0.1
29,46,46,1.7,5.1,2.2,5.0,0.5,0.3
22,15,1,0.9,0.8,1.3,1.3,0.7,0.6
34,58,9,0.9,0.1,0.2,1.2,0.6,0.2
24,34,1,0.4,0.1,0.9,0.6,0.3,0.3
29,76,76,0.3,2.2,2.9,4.0,1.1,1.1
23,60,2,0.1,0.4,0.7,0.9,0.4,0.2
28,62,62,2.2,4.1,1.5,3.0,0.7,0.7
32,68,68,2.1,3.7,1.2,3.6,1.6,0.9
23,77,77,2.4,1.3,1.4,1.7,1.0,0.8
28,53,8,0.4,0.6,0.6,0.7,0.5,0.4
24,69,27,1.8,2.5,1.4,2.8,0.7,0.3
32,78,27,0.8,1.9,1.4,4.4,0.9,0.4
28,68,52,1.5,2.6,1.4,1.5,1.1,0.7
20,15,0,0.0,0.3,0.2,0.3,0.0,0.0
21,21,0,0.3,0.8,0.6,1.6,0.3,0.2
29,69,1,0.8,0.1,0.9,1.3,0.6,0.1
30,76,76,1.6,1.3,0.4,2.4,1.3,0.6
24,57,21,1.2,0.5,0.6,1.5,0.9,0.5
21,5,0,0.8,2.2,0.6,0.6,0.6,0.2
23,54,0,0.4,0.1,0.2,0.3,0.2,0.1
35,75,75,2.2,4.8,0.5,5.0,0.9,1.2
25,64,59,1.9,0.6,0.6,2.6,0.7,0.4
24,31,11,1.0,0.6,0.6,0.7,0.4,0.2
35,55,5,1.5,1.5,1.1,2.1,0.3,0.2
27,74,36,0.0,0.8,1.9,1.8,0.4,0.4
20,75,44,2.0,2.5,0.2,4.4,0.5,0.1
32,55,55,1.7,1.8,0.7,5.3,0.9,0.3
22,42,31,0.5,0.8,0.3,4.9,0.9,0.5
22,28,0,0.1,0.6,0.3,1.3,0.3,0.1
33,77,63,3.5,1.6,0.5,2.3,0.6,0.5
24,44,0,0.3,0.0,0.5,0.6,0.3,0.1
20,17,0,0.5,0.2,0.4,1.6,0.4,0.3
29,66,32,0.6,0.3,0.8,3.8,1.0,0.4
23,62,29,0.8,0.6,1.4,1.3,0.9,0.3
28,57,57,1.9,4.5,1.7,2.0,0.7,1.9
30,79,10,0.1,1.2,0.8,4.2,0.9,0.6
28,70,70,2.2,2.7,0.9,4.2,0.5,0.7
37,60,55,1.6,1.1,0.6,4.2,1.0,0.4
31,58,58,3.0,3.3,0.8,5.2,1.3,0.5
22,22,22,3.2,4.1,1.3,8.0,1.8,0.2
26,38,3,0.4,1.1,0.9,0.7,0.6,0.6
26,46,5,1.2,0.8,0.3,1.2,0.5,0.2
31,61,0,0.4,0.8,1.5,1.9,1.0,0.3
26,55,55,3.2,4.5,2.2,2.0,0.9,0.5
39,71,71,2.1,4.3,0.9,8.3,1.3,0.5
24,26,3,0.3,0.4,0.3,0.9,0.3,0.4
20,17,0,0.1,0.1,0.3,0.5,0.1,0.1
23,37,0,0.9,0.5,0.6,1.0,0.2,0.1
25,3,0,0.0,0.7,0.0,0.0,0.0,0.0
26,38,0,1.0,0.1,0.2,0.6,0.1,0.2
25,58,0,1.8,0.8,0.2,1.3,0.6,0.3
24,79,79,2.0,1.6,0.9,1.4,0.9,0.6
24,70,70,4.1,6.8,0.8,9.8,1.4,0.5
25,25,0,0.4,0.7,0.8,0.2,0.2,0.0
24,43,7,0.3,1.0,0.5,0.4,0.1,0.2
27,39,22,2.7,1.0,0.3,3.5,0.5,0.1
28,63,7,0.0,0.8,1.9,1.1,0.4,1.0
25,69,0,0.8,0.8,0.3,1.9,0.6,0.1
20,75,29,1.2,0.7,0.4,2.1,0.4,0.1
31,39,25,2.1,2.4,0.7,5.5,0.7,0.2
27,79,77,2.8,0.3,0.5,1.4,0.7,0.1
25,72,0,2.1,2.4,0.4,5.1,0.6,0.5
25,7,2,0.1,0.0,2.1,0.3,0.4,0.6
27,6,0,0.0,0.7,0.2,0.3,0.2,0.2
23,48,1,0.6,0.4,0.5,0.6,0.3,0.1
34,49,7,1.0,0.7,0.5,0.7,0.3,0.3
23,71,11,1.3,0.8,0.2,3.3,0.6,0.2
29,20,20,2.1,2.2,0.3,4.3,2.1,0.3
25,43,18,0.1,0.5,1.3,2.8,1.0,0.3
34,26,1,0.6,0.2,0.2,0.6,0.2,0.1
25,11,2,0.0,0.3,0.9,0.4,0.3,0.6
24,50,25,0.2,1.9,2.6,1.1,0.4,0.7
25,5,0,0.4,0.2,0.2,1.0,0.2,0.0
33,46,11,0.0,1.5,1.3,1.2,0.3,0.4
26,65,19,1.2,0.3,0.5,1.4,1.7,0.8
26,28,1,1.5,0.5,0.2,0.6,0.2,0.0
23,8,0,0.6,0.4,1.1,0.5,0.4,0.4
20,67,7,0.6,0.5,0.2,0.9,0.3,0.3
27,70,70,2.4,1.1,0.9,4.0,0.9,0.4
32,43,7,0.7,0.8,0.7,1.6,0.4,0.7
21,34,0,0.0,0.1,0.1,0.2,0.1,0.0
25,16,0,0.6,0.4,0.6,0.4,0.3,0.4
25,81,81,2.7,1.1,1.3,1.5,0.5,0.7
27,82,82,2.7,3.1,0.8,3.6,1.0,0.4
36,76,76,2.4,1.3,0.5,5.9,1.2,0.2
32,53,6,0.5,0.3,0.7,0.7,0.2,0.2
25,69,67,2.3,2.5,1.0,3.3,0.9,0.5
23,68,14,1.6,0.6,0.5,1.7,0.7,0.1
25,57,17,0.4,0.6,1.4,0.7,0.4,1.1
